Offer Title,Coupon Code,Description,Eligible Credit Cards,Eligible Debit Cards
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Plus Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Plus Visa Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Prime Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum ShopDaily Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum ShopDaily Visa Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum ShopSmart MasterCard Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Shopgain  Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Shopgain Visa Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum Shopsmart Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum TravelEasy Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum TravelEasy Visa Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum ValuePlus Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Platinum ValuePlus MasterCard Credit Card,
